FIRST_NAME,LAST_NAME,SPORT,FULL_RESIDENCE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Kat,Holmes ,Fencing,"New York , New York ",40.750422,-73.996328,1,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
Maia ,Weintraub ,Fencing ,"New York , New York ",40.750422,-73.996328,1,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
Miles ,Chamley-Watson,Fencing ,"University Park , Pennsylvania ",40.799672,-77.862339,1,place,,,,,University Park,PA,Centre County,16802,US,TIGER/Line® dataset from the US Census Bureau
Filip ,Dolegiewicz,Fencing ,"Boston , Massachusetts ",42.354318,-71.073449,1,place,,,,,Boston,MA,Suffolk County,2106,US,TIGER/Line® dataset from the US Census Bureau
Kelsey ,Bing,Field Hockey,"Santa Clara , California ",37.351158,-121.952295,1,place,,,,,Santa Clara,CA,Santa Clara County,95050,US,TIGER/Line® dataset from the US Census Bureau
Leah ,Crouse ,Field Hockey,"Spring City , Pennsylvania ",40.17677,-75.54769,1,place,,,,,Spring City,PA,Chester County,19475,US,TIGER/Line® dataset from the US Census Bureau
Brooke ,DeBerdine,Field Hockey,"Spring City , Pennsylvania ",40.17677,-75.54769,1,place,,,,,Spring City,PA,Chester County,19475,US,TIGER/Line® dataset from the US Census Bureau
Emma ,DeBerdine,Field Hockey,"Spring City , Pennsylvania ",40.17677,-75.54769,1,place,,,,,Spring City,PA,Chester County,19475,US,TIGER/Line® dataset from the US Census Bureau
Phia ,Gladieux,Field Hockey,"Conshohocken, Pennsylvania ",40.082509,-75.304377,1,place,,,,,Conshohocken,PA,Montgomery County,19428,US,TIGER/Line® dataset from the US Census Bureau
Amanda ,Golini,Field Hockey,"Conshohocken, Pennsylvania ",40.082509,-75.304377,1,place,,,,,Conshohocken,PA,Montgomery County,19428,US,TIGER/Line® dataset from the US Census Bureau
Ally ,Hammel,Field Hockey,"Duxbury , Massachusetts ",41.970474,-70.701357,1,place,,,,,Duxbury,MA,Plymouth County,2331,US,TIGER/Line® dataset from the US Census Bureau
Ashley ,Hoffman,Field Hockey,"Conshohocken, Pennsylvania ",40.082509,-75.304377,1,place,,,,,Conshohocken,PA,Montgomery County,19428,US,TIGER/Line® dataset from the US Census Bureau
Karlie ,Kisha,Field Hockey,"Villanova , Pennsylvania ",40.027909,-75.369458,1,place,,,,,Villanova,PA,Delaware County,19085,US,TIGER/Line® dataset from the US Census Bureau
Kelee,Lepage,Field Hockey,"Charlotte, North Carolina ",35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Ashley ,Sessa,Field Hockey,"Evanston , Illinois",42.049148,-87.702155,1,place,,,,,Evanston,IL,Cook County,60201,US,TIGER/Line® dataset from the US Census Bureau
Meredith ,Sholder,Field Hockey,"Chapel Hill , North Carolina ",36.004647,-79.054475,1,place,,,,,Chapel Hill,NC,Orange County,27514,US,TIGER/Line® dataset from the US Census Bureau
Abby ,Tamer,Field Hockey,"Ann Arbor , Michigan ",42.266638,-83.849042,1,place,,,,,Ann Arbor,MI,Washtenaw County,48103,US,TIGER/Line® dataset from the US Census Bureau
Megan ,Valzonis,Field Hockey,"Berkeley , California ",37.864425,-122.28713,1,place,,,,,Berkeley,CA,Alameda County,94702,US,TIGER/Line® dataset from the US Census Bureau
Beth ,Yeager,Field Hockey,"Princeton , New Jersey",40.343625,-74.693953,1,place,,,,,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau
Maddie ,Zimmer,Field Hockey,"Evanston , Illinois",42.049148,-87.702155,1,place,,,,,Evanston,IL,Cook County,60201,US,TIGER/Line® dataset from the US Census Bureau
Nelly,Korda,Golf,"Bradenton, Florida",27.404731,-82.470456,1,place,,,,,Bradenton,FL,Manatee County,34201,US,TIGER/Line® dataset from the US Census Bureau
Lilia,Vu,Golf,"Fountain Valley , California ",33.710582,-117.951129,1,place,,,,,Fountain Valley,CA,Orange County,92708,US,TIGER/Line® dataset from the US Census Bureau
Rose,Zhang,Golf,"Stanford , California ",37.42509,-122.1675,1,place,,,,,Stanford,CA,Santa Clara County,94305,US,TIGER/Line® dataset from the US Census Bureau
Collin ,Morikawa,Golf,"Las Vegas, Nevada",36.17372,-115.10647,1,place,,,,,Las Vegas,NV,Clark County,89101,US,TIGER/Line® dataset from the US Census Bureau
Scottie ,Scheffler ,Golf ,"Dallas , Texas",32.781179,-96.790329,1,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
Wyndham,Clark,Golf,"Scottsdale , Arizona",33.534451,-111.887354,1,place,,,,,Scottsdale,AZ,Maricopa County,85250,US,TIGER/Line® dataset from the US Census Bureau
Xander,Schauffele,Golf,"Jupiter , Florida ",26.936558,-80.131851,1,place,,,,,Jupiter,FL,Palm Beach County,33458,US,TIGER/Line® dataset from the US Census Bureau
Evita,Griskenas,Rhythmic Gymnastics,"New York, New York",40.750422,-73.996328,1,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
Kara,Kohler,Rowing,"Austin, Texas",30.268335,-97.741382,1,place,,,,,Austin,TX,Travis County,78701,US,TIGER/Line® dataset from the US Census Bureau
William,Bender,Rowing,"Norwich , Vermont",43.717918,-72.3612,1,place,,,,,Norwich,VT,Windsor County,5055,US,TIGER/Line® dataset from the US Census Bureau
Charlotte ,Buck,Rowing,"Princeton, New Jersey",40.343625,-74.693953,1,place,,,,,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau
Molly,Bruggeman,Rowing,"Princeton, New Jersey",40.343625,-74.693953,1,place,,,,,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau
Nina,Casatagna,Rowing,"Princeton, New Jersey",40.343625,-74.693953,1,place,,,,,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau
Olivia,Coffey,Rowing,"Princeton, New Jersey",40.343625,-74.693953,1,place,,,,,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau
Claire,Collins,Rowing,"Princeton, New Jersey",40.343625,-74.693953,1,place,,,,,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau
Emily,Kallfelz,Rowing,"Jamestown, Rhode Island",41.51412,-71.377247,1,place,,,,,Jamestown,RI,Newport County,2835,US,TIGER/Line® dataset from the US Census Bureau
Kaitlin,Knifton,Rowing,"Austin, Texas",30.268335,-97.741382,1,place,,,,,Austin,TX,Travis County,78701,US,TIGER/Line® dataset from the US Census Bureau
Meghan,Musnicki,Rowing,"San Francisco, California",37.776646,-122.417481,1,place,,,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Molly,Reckford,Rowing,"Menlo Park , California",37.439616,-122.186373,1,place,,,,,Menlo Park,CA,San Mateo County,94025,US,TIGER/Line® dataset from the US Census Bureau
Regina,Salmons,Rowing,"Princeton, New Jersey",40.343625,-74.693953,1,place,,,,,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau
Michelle,Sechser ,Rowing,"Portsmouth, New Hampshire",43.074812,-70.805443,1,place,,,,,Portsmouth,NH,Rockingham County,3801,US,TIGER/Line® dataset from the US Census Bureau
Kristi,Wagner,Rowing,"Saratoga Springs, New York",43.08313,-73.78457,1,place,,,,,Saratoga Springs,NY,Saratoga County,12866,US,TIGER/Line® dataset from the US Census Bureau
Madeleine ,Wanamaker,Rowing,"Princeton, New Jersey",40.343625,-74.693953,1,place,,,,,Princeton,NJ,Mercer County,8540,US,TIGER/Line® dataset from the US Census Bureau
Justin,Best,Rowing,"Oakland, California",37.786027,-122.223779,1,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Liam,Corrigan,Rowing,"San Francisco, California",37.776646,-122.417481,1,place,,,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Michael,Grady,Rowing,"Oakland, California",37.786027,-122.223779,1,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Nick,Mead,Rowing,"New York, New York",40.750422,-73.996328,1,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
Jacob ,Plihal,Rowing ,"Seattle, Washington",47.610902,-122.336422,1,place,,,,,Seattle,WA,King County,98101,US,TIGER/Line® dataset from the US Census Bureau
Sorin,Koszyk,Rowing ,"Oakland , California",37.786027,-122.223779,1,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Clark ,Dean,Rowing ,"Oakland, California",37.786027,-122.223779,1,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Pieter,Quinton,Rowing ,"Oakland, California",37.786027,-122.223779,1,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Jessia ,Thoennes,Rowing ,"Denver , Colorado",39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Kayla ,Canett,Rugby ,"Los Angeles , California ",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Lauren ,Doyle,Rugby ,"Chicago , Illinois ",41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Alev ,Kelter,Rugby ,"Los Angeles , California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Sarah,Levy,Rugby ,"New York, New York ",40.750422,-73.996328,1,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
Ilona ,Maher,Rugby ,"Los Angeles , California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Alena ,Olsen,Rugby ,"Los Angeles , California ",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Ariana,Ramsey,Rugby ,"Philadelphia , Pennsylvania ",40.001811,-75.11787,1,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
Steph ,Rovetti,Rugby ,"San Diego, California",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Spiff ,Sedrick,Rugby ,"Los Angeles , California ",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Naya,Tapper,Rugby,"San Diego, California",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Daniela,Moroz,Sailing,"San Francisco, California",37.776646,-122.417481,1,place,,,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Lara,Dallman-Weiss,Sailing,"Miami, Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Erika,Reineke,Sailing,"Fort Lauderdale, Florida",26.121323,-80.127909,1,place,,,,,Fort Lauderdale,FL,Broward County,33301,US,TIGER/Line® dataset from the US Census Bureau
Dominique,Stater,Sailing,"Miami, Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Stephanie,Roble,Sailing,"Miami, Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Maggie,Shea,Sailing,"Chicago , Illinois",41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Sarah,Newberry Moore,Sailing,"Miami, Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Stu,McNay,Sailing,"Providence , Rhode Island",41.81835,-71.424851,1,place,,,,,Providence,RI,Providence County,2902,US,TIGER/Line® dataset from the US Census Bureau
Hans,Henken,Sailing,"San Francisco, California",37.776646,-122.417481,1,place,,,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Ian,Barrows,Sailing,"St. Thomas, U.S. Virgin Islands",18.342908,-64.9189,1,place,,,,,Saint Thomas,VI,St. Thomas Island,805,US,TIGER/Line® dataset from the US Census Bureau
Noah,Lyons,Sailing,"Clearwater , Florida",27.978147,-82.781523,1,place,,,,,Clearwater,FL,Pinellas County,33755,US,TIGER/Line® dataset from the US Census Bureau
Markus,Edegran,Sailing,"Clearwater , Florida",27.978147,-82.781523,1,place,,,,,Clearwater,FL,Pinellas County,33755,US,TIGER/Line® dataset from the US Census Bureau
David,Liebenberg,Sailing,"Miami, Florida",25.558428,-80.458168,1,place,,,,,Miami,FL,Miami-Dade County,33234,US,TIGER/Line® dataset from the US Census Bureau
Katelyn,Abeln,Shooting,"Douglasville , Georgia",33.759543,-84.777337,1,place,,,,,Douglasville,GA,Douglas County,30134,US,TIGER/Line® dataset from the US Census Bureau
Alexis ,Lagan,Shooting ,"Boulder City, Nevada",36.020563,-114.82952,1,place,,,,,Boulder City,NV,Clark County,89005,US,TIGER/Line® dataset from the US Census Bureau
Sagen,Maddalena,Shooting,"Fort Benning, Georgia",32.392337,-84.931457,1,place,,,,,Fort Benning,GA,Muscogee County,31905,US,TIGER/Line® dataset from the US Census Bureau
Mary,Tucker,Shooting,"Sarasota, Florida",27.335023,-82.537169,1,place,,,,,Sarasota,FL,Sarasota County,34230,US,TIGER/Line® dataset from the US Census Bureau
Ryann,Phillips,Shooting,"Corpus Christi, Texas",27.797802,-97.399067,1,place,,,,,Corpus Christi,TX,Nueces County,78401,US,TIGER/Line® dataset from the US Census Bureau
Austen ,Smith,Shooting,"Keller, Texas",32.928037,-97.283914,1,place,,,,,Keller,TX,Tarrant County,76244,US,TIGER/Line® dataset from the US Census Bureau
Ada,Khorkin ,Shooting ,"Brookline , Massachusetts ",42.308198,-71.088745,1,place,,,,,Brookline,MA,Suffolk County,2146,US,TIGER/Line® dataset from the US Census Bureau
Vincent,Hancock,Shooting,"Fort Worth, Texas",32.771419,-97.291484,1,place,,,,,Fort Worth,TX,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
Derrick,Mein,Shooting,"Marengo, Ohio",40.406317,-82.782091,1,place,,,,,Marengo,OH,Morrow County,43334,US,TIGER/Line® dataset from the US Census Bureau
Conner,Prince,Shooting,"Burleson, Texas",32.492683,-97.264359,1,place,,,,,Burleson,TX,Johnson County,76028,US,TIGER/Line® dataset from the US Census Bureau
Keith,Sanderson,Shooting,"Seattle, Washington",47.610902,-122.336422,1,place,,,,,Seattle,WA,King County,98101,US,TIGER/Line® dataset from the US Census Bureau
Henry ,Leverett ,Shooting ,"Vienna , Austria ",38.897361,-77.253749,1,place,,,,,Vienna,VA,Fairfax County,22180,US,TIGER/Line® dataset from the US Census Bureau
Chris,Joslin,Skateboarding,"Hawaiian Gardens, California",33.830967,-118.072796,1,place,,,,,Hawaiian Gardens,CA,Los Angeles County,90716,US,TIGER/Line® dataset from the US Census Bureau
Gavin ,Bottger,Skateboarding,"Oceanside , California",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Jagger,Eaton,Skateboarding,"Los Angeles, California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Nyjah,Huston,Skateboarding,"Laguna Beach, California",33.520941,-117.741315,1,place,,,,,Laguna Beach,CA,Orange County,92651,US,TIGER/Line® dataset from the US Census Bureau
Tate ,Carew,Skateboarding,"San Diego , California",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Tom,Schaar,Skateboarding,"San Diego , California",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Bryce,Wettstein,Skateboarding,"Encinitas, California",33.016928,-116.846046,1,place,,,,,Encinitas,CA,San Diego County,92023,US,TIGER/Line® dataset from the US Census Bureau
Mariah,Duran,Skateboarding,"Albuquerque, New Mexico",35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Sandoval County,87101,US,TIGER/Line® dataset from the US Census Bureau
Minna ,Stess,Skateboarding,"Petaluma, California",38.265366,-122.822588,1,place,,,,,Petaluma,CA,Sonoma County,94952,US,TIGER/Line® dataset from the US Census Bureau
Paige ,Heyn,Skateboarding,"Tempe, Arizona ",33.401395,-111.931298,1,place,,,,,Tempe,AZ,Maricopa County,85280,US,TIGER/Line® dataset from the US Census Bureau
Poe ,Pinson,Skateboarding,"Fernandina Beach , Florida ",30.609692,-81.49172,1,place,,,,,Fernandina Beach,FL,Nassau County,32034,US,TIGER/Line® dataset from the US Census Bureau
Ruby,Lilley,Skateboarding,"Oceanside , California ",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Brooke,Raboutou,Sport Climbing,"Boulder, Colorado",40.049468,-105.201421,1,place,,,,,Boulder,CO,Boulder County,80301,US,TIGER/Line® dataset from the US Census Bureau
Emma ,Hunt,Sport Climbing,"Woodstock, Georgia",34.127398,-84.481787,1,place,,,,,Woodstock,GA,Cherokee County,30188,US,TIGER/Line® dataset from the US Census Bureau
Natalia,Grossman,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Piper,Kelly,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Jesse,Grupper,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Samuel,Watson,Sport Climbing,"Dallas, Texas",32.781179,-96.790329,1,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
Zach ,Hammer,Sport Climbing,"Ann Arbor, Michigan",42.266638,-83.849042,1,place,,,,,Ann Arbor,MI,Washtenaw County,48103,US,TIGER/Line® dataset from the US Census Bureau
Griffin,Colapinto,Surfing,"San Clemente, California",33.42362,-117.606843,1,place,,,,,San Clemente,CA,Orange County,92672,US,TIGER/Line® dataset from the US Census Bureau
Caitlin,Simmers,Surfing,"Oceanside, California",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Carissa,Moore,Surfing,"Honolulu, Hawaii",21.316548,-157.845053,1,place,,,,,Honolulu,HI,Honolulu County,96813,US,TIGER/Line® dataset from the US Census Bureau
Caroline,Marks,Surfing,"San Clemente, California ",33.42362,-117.606843,1,place,,,,,San Clemente,CA,Orange County,92672,US,TIGER/Line® dataset from the US Census Bureau
Aaron,Shackell,Swimming,"Carmel, Indiana",39.962604,-86.174761,1,place,,,,,Carmel,IN,Hamilton County,46032,US,TIGER/Line® dataset from the US Census Bureau
Blake,Pieroni,Swimming,"Bloomington, Indiana",39.07881,-86.435094,1,place,,,,,Bloomington,IN,Monroe County,47401,US,TIGER/Line® dataset from the US Census Bureau
Bobby,Finke,Swimming,"Clearwater, Florida",27.978147,-82.781523,1,place,,,,,Clearwater,FL,Pinellas County,33755,US,TIGER/Line® dataset from the US Census Bureau
Brooks,Curry,Swimming,"Berkeley , California ",37.864425,-122.28713,1,place,,,,,Berkeley,CA,Alameda County,94702,US,TIGER/Line® dataset from the US Census Bureau
Caeleb,Dressel,Swimming,"Micanopy, Florida",29.50469,-82.27982,1,place,,,,,Micanopy,FL,Alachua County,32667,US,TIGER/Line® dataset from the US Census Bureau
Carson,Foster,Swimming,"Austin, Texas",30.268335,-97.741382,1,place,,,,,Austin,TX,Travis County,78701,US,TIGER/Line® dataset from the US Census Bureau
Charlie ,Swanson,Swimming,"Ann Arbor, Michigan ",42.266638,-83.849042,1,place,,,,,Ann Arbor,MI,Washtenaw County,48103,US,TIGER/Line® dataset from the US Census Bureau
Chase,Kalisz,Swimming,"Los Angeles , California ",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Chris,Guiliano,Swimming,"Chicago , Illinois ",41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Drew,Kibler,Swimming,"Scottsdale , Arizona ",33.534451,-111.887354,1,place,,,,,Scottsdale,AZ,Maricopa County,85250,US,TIGER/Line® dataset from the US Census Bureau
Hunter,Armstrong,Swimming,"Dover, Ohio",40.52062,-81.47401,1,place,,,,,Dover,OH,Tuscarawas County,44622,US,TIGER/Line® dataset from the US Census Bureau
Jack,Alexy,Swimming,"Berkeley, California ",37.864425,-122.28713,1,place,,,,,Berkeley,CA,Alameda County,94702,US,TIGER/Line® dataset from the US Census Bureau
Josh,Matheny,Swimming,"Bloomington , Indiana",39.07881,-86.435094,1,place,,,,,Bloomington,IN,Monroe County,47401,US,TIGER/Line® dataset from the US Census Bureau
Keaton,Jones,Swimming,"Berkeley, California ",37.864425,-122.28713,1,place,,,,,Berkeley,CA,Alameda County,94702,US,TIGER/Line® dataset from the US Census Bureau
Kieran,Smith,Swimming,"Gainesville, Florida",29.648993,-82.324515,1,place,,,,,Gainesville,FL,Alachua County,32601,US,TIGER/Line® dataset from the US Census Bureau
