first_name,last_name,sport,location_name,lat,long,location_type
Kristi,Wagner,Rowing,Yale University,43.121947,-82.827417,School
Liam,Corrigan,Rowing,Harvard University,42.42224,-88.61371,School
Michael,Grady,Rowing,Cornell University,45.125153,-91.170922,School
Sorin,Koszyk,Rowing,Cornell University,45.125153,-91.170922,School
Clark,Dean,Rowing,Harvard University,42.42224,-88.61371,School
Pieter,Quinton,Rowing,Harvard University,42.42224,-88.61371,School
Ariana,Ramsey,Rugby,Dartmouth College,41.756214,-71.067062,School
Steph,Rovetti,Rugby,Brigham Young University,33.741518,-110.860653,School
Sammy,Sullivan,Rugby,Army West Point,33.621135,-88.609136,School
Lara,Dallman-Weiss,Sailing,Eckerd College,38.84276,-107.96284,School
Erika,Reineke,Sailing,Boston College,42.354318,-71.073449,School
Dominique,Stater,Sailing,University of Miami,39.521163,-84.376804,School
Stephanie,Roble,Sailing,Old Dominion University,27.707756,-82.442505,School
Stu,McNay,Sailing,Yale University,43.121947,-82.827417,School
Hans,Henken,Sailing,California Rowing Club,37.155177,-119.543418,School
Ian,Barrows,Sailing,Yale University,43.121947,-82.827417,School
Markus,Edegran,Sailing,St. Mary's College of Maryland,38.223077,-76.534487,School
Ryann,Phillips,Shooting,Texas A&M University-Corpus Christi,27.764919,-97.394825,School
Ivan,Roe,Shooting,Murray State University,34.477598,-96.827993,School
Vincent,Hancock,Shooting,Troy University,42.555985,-83.119206,School
Will,Hinton,Shooting,Dacula High School,33.988309,-83.879494,School
Bryce,Wettstein,Skateboarding,"MiraCosta College, San Elijo Campus",36.41423,-91.73487,School
Brooke,Raboutou,Sport Climbing,University of San Diego,32.74887,-117.122209,School
Emma,Hunt,Sport Climbing,Kennesaw State University,35.823301,-90.692816,School
Griffin,Colapinto,Surfing,San Clemente High School,33.42362,-117.606843,School
John John,Florence,Surfing,Kahuku High School,21.68152,-157.94072,School
Blake,Pieroni,Swimming,Indiana University,39.903026,-86.28395,School
Chris,Guiliano,Swimming,University of Notre Dame,41.712015,-86.249752,School
Josh,Matheny,Swimming,Indiana University,39.903026,-86.28395,School
Anna,Peplowski,Swimming,Indiana University,39.903026,-86.28395,School
Katie,Ledecky,Swimming,Stanford University,37.42509,-122.1675,School
Lilly,King,Swimming,Indiana University Bloomington,39.167027,-86.52708,School
Mariah,Denigan,Swimming,Indiana University,39.903026,-86.28395,School
Regan,Smith,Swimming,Stanford University,37.42509,-122.1675,School
Simone,Manuel,Swimming,Stanford University,37.42509,-122.1675,School
"Victoria ""Torri""",Huske,Swimming,Stanford University,37.42509,-122.1675,School
Kanak,Jha,Table Tennis,Milpitas High School,37.436454,-121.861989,School
Rajeev,Ram,Tennis,Illinois Univeristy,40.102875,-89.152611,School
Chris,Nilsen,Track and Field,South Dakota University,44.446796,-100.238176,School
Clayton,Young,Track and Field,Brigham Young University,33.741518,-110.860653,School
Conner,Mantz,Track and Field,Brigham Young University,33.741518,-110.860653,School
Grant,Fisher,Track and Field,Stanford University,37.42509,-122.1675,School
Harrison,Williams,Track and Field,Stanford University,37.42509,-122.1675,School
Joe,Kovacs,Track and Field,Penn State University,40.32896,-79.64115,School
Leonard,Korir,Track and Field,Iona College,42.070024,-93.493347,School
Noah,Lyles,Track and Field,TC Williams High School,39.142737,-122.243739,School
Sam,Kendricks,Track and Field,University of Mississippi,34.365411,-89.53718,School
Woody,Kincaid,Track and Field,University of Portland,45.399716,-122.27426,School
Yared,Nuguse,Track and Field,University of Notre Dame,41.712015,-86.249752,School
Annette,Echikunwoke,Track and Field,Cincinnati University,39.166759,-84.53822,School
Emily,Sisson,Track and Field,Providence College,41.81835,-71.424851,School
Fiona,O'Keeffe,Track and Field,Stanford University,37.42509,-122.1675,School
Melissa,Jefferson,Track and Field,Coastal Carolina University,18.379441,-65.957695,School
Vashti,Cunningham,Track and Field,Sacramento State University,38.377411,-121.444429,School
Taylor,Knibb,Triathlon,Cornell University,45.125153,-91.170922,School
Matt,Anderson,Volleyball,Penn State University,40.32896,-79.64115,School
T.J.,DeFalco,Volleyball,California State University Long Beach,33.82825,-118.180503,School
Max,Holt,Volleyball,Penn State University,40.32896,-79.64115,School
Thomas,Jaeschke,Volleyball,Loyola University Chicago,42.000648,-87.660954,School
Jeff,Jendryk II,Volleyball,Loyola University Chicago,42.000648,-87.660954,School
Aaron,Russell,Volleyball,Penn State University,40.32896,-79.64115,School
Erik,Shoji,Volleyball,Stanford University,37.42509,-122.1675,School
Kathryn,Plummer,Volleyball,Stanford University,37.42509,-122.1675,School
Jordan,Thompson,Volleyball,University of Cincinnati,39.521163,-84.376804,School
Jenna,Flynn,Water Polo,Stanford University,37.42509,-122.1675,School
Jewel,Roemer,Water Polo,Stanford University,37.42509,-122.1675,School
Maggie,Steffens,Water Polo,Stanford University,37.42509,-122.1675,School
Ryann,Neushul,Water Polo,Stanford University,37.42509,-122.1675,School
Alex,Bowen,Water Polo,Stanford University,37.42509,-122.1675,School
Alex,Obert,Water Polo,University of the Pacific,38.634376,-90.311726,School
Ben,Hallock,Water Polo,Stanford University,37.42509,-122.1675,School
Drew,Holland,Water Polo,Stanford University,37.42509,-122.1675,School
Dylan,Woodhead,Water Polo,Stanford University,37.42509,-122.1675,School
Olivia,Reeves,Weightlifting,University of Tennessee-Chattanooga,35.043744,-85.3011,School
Amit,Elor,Wrestling,Diablo Valley College,32.81874,-85.17939,School
Dom,Parrish,Wrestling,"Simon Fraser University (British Columbia, Canada)",59.60368,-133.513683,School
Kayla,Miracle,Wrestling,Campbellsville,37.337416,-85.357952,School
Sarah,Hildebrandt,Wrestling,King University,36.320179,-80.292174,School
Zain,Retherford,Wrestling,Penn State University,40.32896,-79.64115,School
Ben,Davison,Rowing,"Iverness , Florida",28.8447,-82.3631194,Hometown
Alex,Obert,Water Polo,"Loomis/Sacremento, California",38.806322,-121.2006899,Hometown
Vinson,Chiu,Badminton,"Southern , California",35.187133,-117.885359,Hometown
Annette,Echikunwoke,Track and Field,"Pickering North , Ohio ",39.88423,-82.7535,Hometown
Sunny,Choi,Breaking,"Queens, NY",40.745263,-73.711159,Hometown
Cameron,Wood,Cycling (BMX Racing),"Montana City , Montana ",46.537711,-111.932769,Hometown
Nick,Mead,Rowing,"Strafford, Pennsylvania",40.050942,-75.404358,Hometown
Matt,Anderson,Volleyball,"West Seneca, New York",42.83749,-78.75083,Hometown
Ryann,Neushul,Water Polo,"Isla Vista, California",34.413329,-119.860972,Hometown
Anita,Alvarez,Artistic Swimming,"Kenmore, New York",42.965891,-78.870036,Hometown
Kassidy,Cook,Diving,"The Woodlands, Texas ",30.194985,-95.548211,Hometown
Jack,Yonezuka,Judo,"West Long Beach , New Jersey",39.685675,-74.144859,Hometown
Colin,Duffy,Sport Climbing,"Broomfield, Colorado",39.930782,-105.074287,Hometown
Abbey,Weitzeil,Swimming,"Saugus, California",34.411385,-118.540086,Hometown
David,Smith,Volleyball,"Saugus, California",34.411385,-118.540086,Hometown
Jordan,Thompson,Volleyball,"Edina , Minnesota ",44.889687,-93.349949,Hometown
Brady,Ellison,Archery,"Globe, Arizona",33.566039,-110.757756,Hometown
Casey,Kaufhold,Archery,"Lancaster, Pennsylvania",40.076553,-76.31068,Hometown
Daniella,Ramirez,Artistic Swimming,"Miami, Florida",25.558428,-80.458168,Hometown
Megumi,Field,Artistic Swimming,"Wilmington, Delaware",39.727113,-75.547844,Hometown
Jaime,Czarkowski,Artistic Swimming,"Calgary, Canada",51.164888,-114.073897,Hometown
Jacklyn,Luu,Artistic Swimming,"Milpitas, California",37.436454,-121.861989,Hometown
Keana,Hunter,Artistic Swimming,"Los Angeles, California",33.973951,-118.248405,Hometown
Jennie,Gai,Badminton,"Fremont, California",37.565285,-121.982721,Hometown
Annie,Xu,Badminton,"San Jose , California",37.346608,-121.909871,Hometown
Kerry,Xu,Badminton,"San Jose , California",37.346608,-121.909871,Hometown
Joshua,Yuan,Badminton,"San Mateo, California",37.573485,-122.32253,Hometown
Howard,Shu,Badminton,"Orange County , California",33.675687,-117.777207,Hometown
Canyon,Barry,Basketball 3x3,"Colorado Springs, Colorado",38.828893,-104.809929,Hometown
Jimmer,Fredette,Basketball 3x3,"Glens Falls, New York",43.30952,-73.64401,Hometown
Kareem,Maddox,Basketball 3x3,"Oak Park, California",34.184975,-118.766918,Hometown
Dylan,Travis,Basketball 3x3,"Omaha, Nebraska",41.262003,-95.933564,Hometown
Cameron,Brink,Basketball 3x3,"Beaverton, Oregon ",45.496289,-122.800146,Hometown
Bam,Adebayo,Basketball,"Pinetown , North Carolina",35.574633,-76.776212,Hometown
Devin,Booker,Basketball,"Moss Point , Mississippi ",30.546682,-88.489452,Hometown
Stephen,Curry,Basketball,"Charlotte , North Carolina",35.26002,-80.804151,Hometown
Anthony,Davis,Basketball,"Chicago , Illinois ",41.88531,-87.62213,Hometown
Kevin,Durant,Basketball,"Suitland , Maryland ",38.834912,-76.912745,Hometown
Anthony,Edwards,Basketball,"Atlanta , Georgia ",33.844371,-84.47405,Hometown
Joel,Embiid,Basketball,"Yaounde , Cameroon ",39.74028,-94.24106,Hometown
Tyrese,Haliburton,Basketball,"Oshkosh, Wisconsin",44.062886,-88.535694,Hometown
Jrue,Holiday,Basketball,"Los Angeles , California",33.973951,-118.248405,Hometown
LeBron,James,Basketball,"Akron , Ohio ",41.04349,-81.524017,Hometown
Kawhi,Leonard,Basketball,"Los Angeles , California",33.973951,-118.248405,Hometown
Jayson,Tatum,Basketball,"St. Louis , Missouri ",38.631501,-90.19231,Hometown
Napheesa,Collier,Basketball,"Jefferson City , Missouri ",38.494029,-92.165194,Hometown
Kahleah,Cooper,Basketball,"Philadelphia , Pennsylvania ",40.001811,-75.11787,Hometown
Chelsea,Gray,Basketball,"Hayward , California",37.673946,-122.08482,Hometown
Brittney,Griner,Basketball,"Houston , Texas ",29.813142,-95.309789,Hometown
Sabrina,Ionescu,Basketball,"Walnut Creek , California",37.873343,-122.070625,Hometown
Jewell,Loyd,Basketball,"Lincolnwod, Illinois ",42.00798,-87.736135,Hometown
Kelsey,Plum,Basketball,"Poway , California ",32.994097,-117.030299,Hometown
Breanna,Stewart,Basketball,"North Syracuse, New York",43.02143,-76.197701,Hometown
Diana,Taurasi,Basketball,"Chino, California ",33.953755,-117.639209,Hometown
Alyssa,Thomas,Basketball,"Harrisburg , Pensylvania ",40.258655,-76.894376,Hometown
A'ja,Wilson,Basketball,"Columbia , South Carolina",33.987454,-81.024864,Hometown
Jackie,Young,Basketball,"Princeton , Indiana ",38.303369,-87.534003,Hometown
Kelly,Cheng (nee Claes),Beach Volleyball,"Fullerton, California",33.879768,-117.896341,Hometown
Miles,Evans,Beach Volleyball,"Santa Barbara , CA",34.421897,-119.707135,Hometown
Jahmal,Harvey,Boxing,"Oxon Hill, MD",38.806809,-76.995859,Hometown
Omari,Jones,Boxing,"Orlando, Florida",28.545179,-81.373291,Hometown
Roscoe,Hill,Boxing,"Spring, TX",30.062169,-95.383966,Hometown
Alyssa,Mendoza,Boxing,"Caldwell , Idaho",43.661908,-116.65629,Hometown
Jajaria,Gonzalez,Boxing,"Glendora , California",34.119363,-117.855059,Hometown
Jennifer,Lozano,Boxing,"Laredo, TX",27.515879,-99.494078,Hometown
"Logan ""Logistx""",Edra,Breaking,"San Diego, California ",32.724103,-117.170912,Hometown
Victor,Montalvo,Breaking,"Kissimmee, Florida",28.30639,-81.425522,Hometown
Evy,Leibfarth,Canoeing,"Bryson City , North Carolina",35.38563,-83.508554,Hometown
Nevin,Harrison,Canoeing,"Seattle , Washington",47.610902,-122.336422,Hometown
Aaron,Small,Canoeing,"Seattle, Washington ",47.610902,-122.336422,Hometown
Casey,Eichfeld,Canoeing,"Harrisburg , Pensylvania ",40.258655,-76.894376,Hometown
Jonas,Ecker,Canoeing,"Bellingham , Washington ",48.754401,-122.478836,Hometown
Alise,Willoughby,Cycling (BMX Racing),"St. Cloud , Minnesota ",45.519196,-94.330619,Hometown
Chloe,Dygert,Cycling (Road),"Brownsburg, Indiana",39.84338,-86.39777,Hometown
Daleny,Vaughn,Cycling (BMX Racing),"Tucson , Arizona ",32.217975,-110.970869,Hometown
Felicia,Stancil,Cycling (BMX Racing),"Lake Villa, Illinois",42.381271,-87.999077,Hometown
Haley,Batten,Cycling (Mountain Bike),"Park City, Utah",40.652531,-111.501916,Hometown
Hannah,Roberts,Cycling (BMX Freestyle),"Buchanan, Michigan",41.841369,-86.429249,Hometown
Jennifer,Valente,Cycling (Track Cycling),"San Diego , California ",32.724103,-117.170912,Hometown
Kristen,Faulkner,Cycling (Track Cycling),"Homer , Alaska ",59.6425,-151.54833,Hometown
Lily,Williams,Cycling (Track Cycling),"Tallahassee , Florida",30.427753,-84.258472,Hometown
Perris,Benegas,Cycling (BMX Freestyle),"Reno, Nevada",39.525749,-119.813051,Hometown
Riley,Amos,Cycling (Mountain Bike),"Durango, Colorado",37.318364,-107.880367,Hometown
Savilia,Blunk,Cycling (Mountain Bike),"Inverness, California",38.112571,-122.887717,Hometown
Taylor,Knibb,Cycling (Road),"Washington, DC",38.911936,-77.016719,Hometown
Olivia,Cummins,Cycling (Track Cycling),"Fort Collins, Colorado ",40.594597,-105.127416,Hometown
Brandon,McNulty,Cycling (Road),"Phoenix, Arizona",33.703967,-112.351835,Hometown
Christopher,Blevins,Cycling (Mountain Bike),"Durango, Colorado",37.318364,-107.880367,Hometown
Grant,Koontz,Cycling (Track Cycling),"Houston , Texas ",29.813142,-95.309789,Hometown
Justin,Dowell,Cycling (BMX Freestyle),"Virginia Beach, Virginia",36.844004,-76.12036,Hometown
Kamren,Larsen,Cycling (BMX Racing),"Bakersfield , California ",35.384337,-119.020562,Hometown
Magnus,Sheffield,Cycling (Road),"Pittsford , New York ",43.060229,-77.520692,Hometown
Marcus,Christopher,Cycling (BMX Freestyle),"Canton, Ohio",40.79979,-81.375811,Hometown
Matteo,Jorgenson,Cycling (Road),"Boise, Idaho ",43.603768,-116.272921,Hometown
Alison,Gibson,Diving,"Austin, Texas",30.268335,-97.741382,Hometown
Delaney,Schnell,Diving,"Tucson, Arizona",32.217975,-110.970869,Hometown
Jessica,Parratto,Diving,"Dover, New Hampshire",43.190666,-70.887661,Hometown
Sarah,Bacon,Diving,"Indianapolis, Indiana",39.775092,-86.13216,Hometown
Andrew,Capobianco,Diving,"Holly Springs, North Carolina",35.607666,-78.829724,Hometown
Carson,Tyler,Diving,"Moultrie, Georgia",31.183438,-83.789698,Hometown
Greg,Duncan,Diving,"Oakton, Virginia",38.892796,-77.329906,Hometown
Tyler,Downs,Diving,"Ballwin, Missouri",38.609102,-90.559763,Hometown
Boyd,Martin,Equestrian (Eventing),"Cochranville, Pennslyvania ",39.916517,-75.925805,Hometown
Will,Coleman,Equestrian (Eventing),"Gordonsville, Virginia ",38.175906,-78.181467,Hometown
Lee,Kiefer,Fencing,"Lexington, Kentucky",38.016674,-84.486043,Hometown
Anne,Cebula,Fencing,"Brooklyn, New York",40.694481,-73.989319,Hometown
Margherita,Guzzi Vincenti,Fencing,"Hartland, Wisconsin",43.123679,-88.336087,Hometown
Eli,Dershwitz,Fencing,"Sherborn, Massachusetts",42.23899,-71.36978,Hometown
Nick,Itkin,Fencing,"Los Angeles, California",33.973951,-118.248405,Hometown
Alexander,Massialas,Fencing,"San Francisco, California",37.776646,-122.417481,Hometown
Jackie,Dubrovich,Fencing,"Riverdale, New Jersey",40.992647,-74.312443,Hometown
Lauren,Scruggs,Fencing,"Queens, New York",40.654658,-73.841209,Hometown
Tatiana,Nazlymov,Fencing,"Bethesda, Maryland",39.00452,-77.1046,Hometown
Magda,Skarbonkiewicz,Fencing,"Portland, Oregon",45.507856,-122.690794,Hometown
Gerek,Meinhardt,Fencing,"San Francisco, California",37.776646,-122.417481,Hometown
Kat,Holmes,Fencing,"Washington , District of Columbia ",38.911936,-77.016719,Hometown
Maia,Weintraub,Fencing,"Philadelphia , Pennsylvania",40.001811,-75.11787,Hometown
Miles,Chamley-Watson,Fencing,"Westiminster , England ",34.54426,-91.96903,Hometown
Filip,Dolegiewicz,Fencing,"Park Ridge , Illinois",42.037228,-87.843714,Hometown
Kelsey,Bing,Field Hockey,"Houston , Texas ",29.813142,-95.309789,Hometown
Leah,Crouse,Field Hockey,"Virginia Beach , Virginia ",36.844004,-76.12036,Hometown
Brooke,DeBerdine,Field Hockey,"Millersville , Pennsylvania ",39.99788,-76.35413,Hometown
Emma,DeBerdine,Field Hockey,"Millersville , Pennsylvania ",39.99788,-76.35413,Hometown
Phia,Gladieux,Field Hockey,"Oley , Pennsylvania ",40.38759,-75.78964,Hometown
Amanda,Golini,Field Hockey,"Randolph , New Jersey ",40.837399,-74.586052,Hometown
Ally,Hammel,Field Hockey,"Duxbury , Massachusetts ",41.970474,-70.701357,Hometown
Ashley,Hoffman,Field Hockey,"Mohnton, Pennsylvania ",40.28593,-75.98438,Hometown
Karlie,Kisha,Field Hockey,"Hamburg, Pennsylvania ",40.55565,-75.98188,Hometown
Kelee,Lepage,Field Hockey,"Honey Brook, Pennsylvania ",40.089561,-75.867533,Hometown
Ashley,Sessa,Field Hockey,"Schwenksville, Pennsylvania ",40.25621,-75.46379,Hometown
Meredith,Sholder,Field Hockey,"Fleetwood , Pennsylvania ",40.45398,-75.81798,Hometown
Abby,Tamer,Field Hockey,"Dexter , Michigan ",42.353887,-83.898295,Hometown
Megan,Valzonis,Field Hockey,"San Diego, California ",32.724103,-117.170912,Hometown
Beth,Yeager,Field Hockey,"Greenwich, Connecticut",41.042746,-73.62617,Hometown
Maddie,Zimmer,Field Hockey,"Hershey , Pennsylvania ",40.269748,-76.636357,Hometown
Nelly,Korda,Golf,"Bradenton, Florida",27.404731,-82.470456,Hometown
Lilia,Vu,Golf,"Fountain Valley , California ",33.710582,-117.951129,Hometown
Rose,Zhang,Golf,"Irvine , California",33.757245,-117.750414,Hometown
Collin,Morikawa,Golf,"Los Angeles, California",33.973951,-118.248405,Hometown
Scottie,Scheffler,Golf,"Dallas , Texas ",32.781179,-96.790329,Hometown
Wyndham,Clark,Golf,"Denver , Colorado",39.760189,-104.996553,Hometown
Xander,Schauffele,Golf,"San Diego, California",32.724103,-117.170912,Hometown
Angelica,Delgado,Judo,"Miami , Florida ",25.558428,-80.458168,Hometown
Evita,Griskenas,Rhythmic Gymnastics,"Orland Park, Illinois",41.625307,-87.83293,Hometown
Kara,Kohler,Rowing,"Clayton, California",37.897832,-121.784818,Hometown
William,Bender,Rowing,"Norwich, Vermont",43.717918,-72.3612,Hometown
Charlotte,Buck,Rowing,"Nyack, New York",41.080474,-73.930179,Hometown
Molly,Bruggeman,Rowing,"Dayton, Ohio",39.750471,-84.268593,Hometown
Nina,Casatagna,Rowing,"Cincinnati, Ohio",39.166759,-84.53822,Hometown
Olivia,Coffey,Rowing,"Watkins Glen, New York",42.37285,-76.927135,Hometown
Claire,Collins,Rowing,"McLean, Virginia",38.935202,-77.18672,Hometown
Emily,Kallfelz,Rowing,"Jamestown, Rhode Island",41.51412,-71.377247,Hometown
Kaitlin,Knifton,Rowing,"Austin, Texas",30.268335,-97.741382,Hometown
Meghan,Musnicki,Rowing,"Naples, New York",42.667802,-77.413496,Hometown
Molly,Reckford,Rowing,"Short Hills, New Jersey",40.74055,-74.334443,Hometown
Regina,Salmons,Rowing,"Methuen, Massachusetts",42.73184,-71.186915,Hometown
Michelle,Sechser,Rowing,"Folsom, California",38.666597,-121.141636,Hometown
Kristi,Wagner,Rowing,"Weston, Massachusetts",42.360502,-71.303434,Hometown
Madeleine,Wanamaker,Rowing,"Neenah, Wisconsin",44.182337,-88.527574,Hometown
Justin,Best,Rowing,"Kennett Square, Pennsylvania",39.867864,-75.716333,Hometown
Liam,Corrigan,Rowing,"Old Lyme, Connecticut",41.31593,-72.32897,Hometown
Michael,Grady,Rowing,"Pittsburgh, Pennsylvania",40.47441,-79.950968,Hometown
Jacob,Plihal,Rowing,"Seattle , Washington",47.610902,-122.336422,Hometown
Sorin,Koszyk,Rowing,"Grosse Point Park , Michigan ",42.382395,-82.921842,Hometown
Clark,Dean,Rowing,"Sarasota, Florida",27.335023,-82.537169,Hometown
Pieter,Quinton,Rowing,"Portland, Oregon",45.507856,-122.690794,Hometown
Jessia,Thoennes,Rowing,"Madison , Wisconsin",43.060926,-88.230636,Hometown
Kayla,Canett,Rugby,"Fallbrook , California ",33.390477,-117.209427,Hometown
Lauren,Doyle,Rugby,"Boody , Illinois ",39.76643,-89.04924,Hometown
Alev,Kelter,Rugby,"Eagleriver , Arkansas ",34.895526,-92.444626,Hometown
Sarah,Levy,Rugby,"San Diego , California ",32.724103,-117.170912,Hometown
Ilona,Maher,Rugby,"Burlington , Vermont ",44.476622,-73.209998,Hometown
Alena,Olsen,Rugby,"Grand Rapids , Michigan ",42.956176,-85.660693,Hometown
Ariana,Ramsey,Rugby,"Bridgeport , Pennsylvania",40.103552,-75.341022,Hometown
Steph,Rovetti,Rugby,"Reno, Nevada",39.525749,-119.813051,Hometown
Spiff,Sedrick,Rugby,"Salt Lake City, Utah",40.756095,-111.900719,Hometown
Sammy,Sullivan,Rugby,"Fayetteville, North Carolina",35.0748,-78.884257,Hometown
Naya,Tapper,Rugby,"Charlotte, North Carolina",35.26002,-80.804151,Hometown
Daniela,Moroz,Sailing,"San Francisco Bay Area, California",37.776646,-122.417481,Hometown
Lara,Dallman-Weiss,Sailing,"Miami, Florida",25.558428,-80.458168,Hometown
Erika,Reineke,Sailing,"Fort Lauderdale, Florida",26.121323,-80.127909,Hometown
Dominique,Stater,Sailing,"Miami, Florida",25.558428,-80.458168,Hometown
Stephanie,Roble,Sailing,"East Troy, Wisconsin",42.78529,-88.4051,Hometown
Maggie,Shea,Sailing,"Wilmette, Illinois",42.079228,-87.72836,Hometown
Sarah,Newberry Moore,Sailing,"Miami , Florida",25.558428,-80.458168,Hometown
Stu,McNay,Sailing,"Providence , Rhode Island",41.81835,-71.424851,Hometown
Hans,Henken,Sailing,"Coronado, California",32.699235,-117.209642,Hometown
Ian,Barrows,Sailing,"St. Thomas, U.S. Virgin Islands",18.342908,-64.9189,Hometown
Noah,Lyons,Sailing,"Clearwater , Florida",27.978147,-82.781523,Hometown
Markus,Edegran,Sailing,"West Palm Beach , Florida",26.715844,-80.070249,Hometown
David,Liebenberg,Sailing,"West Palm Beach , Florida",26.715844,-80.070249,Hometown
Katelyn,Abeln,Shooting,"Douglasville, Georgia",33.759543,-84.777337,Hometown
Alexis,Lagan,Shooting,"Boulder City, Nevada",36.020563,-114.82952,Hometown
Sagen,Maddalena,Shooting,"Groveland, California",37.83826,-120.23269,Hometown
Mary,Tucker,Shooting,"Sarasota , Florida",27.335023,-82.537169,Hometown
Ryann,Phillips,Shooting,"Gail, Texas",32.743795,-101.432354,Hometown
Austen,Smith,Shooting,"Keller, Texas",32.928037,-97.283914,Hometown
Rachel,Tozier,Shooting,"Pattonsburg, Missouri",40.033605,-94.088967,Hometown
Dania,Vizzi,Shooting,"Tampa, Florida",27.996097,-82.582035,Hometown
Ada,Khorkin,Shooting,"Brookline , Massachusetts",42.308198,-71.088745,Hometown
Ivan,Roe,Shooting,"Manhattan, Montana",45.771228,-111.374118,Hometown
Vincent,Hancock,Shooting,"Eatonton, Georgia",33.320818,-83.355865,Hometown
Will,Hinton,Shooting,"Dacula, Georgia",33.988309,-83.879494,Hometown
Derrick,Mein,Shooting,"Paola , Kansas",38.577932,-94.880328,Hometown
Conner,Prince,Shooting,"Burleson, Texas",32.492683,-97.264359,Hometown
Keith,Sanderson,Shooting,"Colorado Springs, Colorado",38.828893,-104.809929,Hometown
Henry,Leverett,Shooting,"Bainbridge, Georgia",30.888734,-84.617836,Hometown
Chris,Joslin,Skateboarding,"Hawaiian Gardens, California",33.830967,-118.072796,Hometown
Gavin,Bottger,Skateboarding,"Oceanside , California",33.195534,-117.354538,Hometown
